case_type,query_id,query_text,query_group,rank,doc_id,title,relevance_label,final_score,vector_score,metadata_delta,kg_score,intent_adjustment,explanation_text,evidence_summary,why_selected
good,DS_001,bệnh AHPND trên tôm,disease-specific,1,TB_005,"Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",2,1.431003658771515,0.6510036587715149,0.35,0.43,0.0,"metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus","metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus; KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp",Có explanation và evidence rõ từ metadata/KG/entity match.
good,DS_001,bệnh AHPND trên tôm,disease-specific,2,FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,2,1.4244176435470581,0.6444176435470581,0.35,0.43,0.0,"metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus","metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus; KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp",Có explanation và evidence rõ từ metadata/KG/entity match.
good,LO_001,nuôi tôm hùm ở Khánh Hòa,local,1,RIA3_001,Quy hoạch nuôi tôm hùm đến năm 2020 và định hướng đến 2030,2,1.6056930017471314,0.8356930017471313,0.35,0.42000000000000004,0.0,"metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa; KG relation match: Tôm hùm bông isFoundIn Ven biển Khánh Hòa, query location matches species range",metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa,Có explanation và evidence rõ từ metadata/KG/entity match.
good,LO_001,nuôi tôm hùm ở Khánh Hòa,local,2,TCKHTS_003,Tình hình cung cấp con giống tôm hùm bông (Panulirus ornatus) ở Việt Nam: hiện trạng và trở ngại,,1.539650399684906,0.769650399684906,0.35,0.42000000000000004,0.0,"metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa; KG relation match: Tôm hùm bông isFoundIn Ven biển Khánh Hòa, query location matches species range",metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa,Có explanation và evidence rõ từ metadata/KG/entity match.
good,LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,1,RIA3_001,Quy hoạch nuôi tôm hùm đến năm 2020 và định hướng đến 2030,2,1.6488410425186157,0.8788410425186157,0.35,0.42000000000000004,0.0,"metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa; KG relation match: Tôm hùm bông isFoundIn Ven biển Khánh Hòa, query location matches species range",metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa,Có explanation và evidence rõ từ metadata/KG/entity match.
good,LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,2,TCKHTS_003,Tình hình cung cấp con giống tôm hùm bông (Panulirus ornatus) ở Việt Nam: hiện trạng và trở ngại,,1.550322790145874,0.780322790145874,0.35,0.42000000000000004,0.0,"metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa; KG relation match: Tôm hùm bông isFoundIn Ven biển Khánh Hòa, query location matches species range",metadata: match species query=lobster with doc_term=lobster (+0.22); match location query=Khanh Hoa with doc_term=Khánh Hòa (+0.08); species-location synergy (+0.05); KG: KG direct match: document aboutTaxon=Tôm hùm bông; KG direct match: document aboutLocation=Ven biển Khánh Hòa,Có explanation và evidence rõ từ metadata/KG/entity match.
partial,LO_001,nuôi tôm hùm ở Khánh Hòa,local,9,CTU_001,Kỹ thuật sản xuất giống và nuôi giáp xác,,0.837712721824646,0.757712721824646,0.08,0.0,0.0,match location query=Khanh Hoa via parent=Vietnam with doc_term=Việt Nam (+0.08),match location query=Khanh Hoa via parent=Vietnam with doc_term=Việt Nam (+0.08); match location query=Khanh Hoa via parent=Vietnam with doc_term=Việt Nam (+0.08),Có explanation nhưng chỉ có một phần evidence hoặc thiếu một nhóm metadata/KG.
partial,LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,9,CTU_001,Kỹ thuật sản xuất giống và nuôi giáp xác,,0.8769472408294677,0.7969472408294678,0.08,0.0,0.0,match location query=Khanh Hoa via parent=Vietnam with doc_term=Việt Nam (+0.08),match location query=Khanh Hoa via parent=Vietnam with doc_term=Việt Nam (+0.08); match location query=Khanh Hoa via parent=Vietnam with doc_term=Việt Nam (+0.08),Có explanation nhưng chỉ có một phần evidence hoặc thiếu một nhóm metadata/KG.
partial,HM_010,broodstock và post-larvae tôm thẻ trong trại giống probiotics,hatchery-production-mode,1,PMC_036,Microbiome of Penaeus vannamei Larvae and Potential Biomarkers Associated With High and Low Survival in Shrimp Hatchery Tanks Affected by Acute Hepatopancreatic Necrosis Disease,2,1.0549988770484924,0.6149988770484924,0.3,0.0,0.14,match species query=Penaeus vannamei with doc_term=Penaeus vannamei (+0.22); match mode query=hatchery aquaculture with doc_term=hatchery aquaculture (+0.08); intent: hatchery vannamei title (+0.14),match species query=Penaeus vannamei with doc_term=Penaeus vannamei (+0.22); match mode query=hatchery aquaculture with doc_term=hatchery aquaculture (+0.08); intent: hatchery vannamei title (+0.14); match species query=Penaeus vannamei with doc_term=Penaeus vannamei (+0.22); match mode query=hatchery aquaculture with doc_term=hatchery aquaculture (+0.08),Có explanation nhưng chỉ có một phần evidence hoặc thiếu một nhóm metadata/KG.
weak,LO_007,các bệnh thường gặp tôm nước lợ và biện pháp phòng chống hiệu quả,local,1,TCTS_001,Các bệnh thường gặp trên tôm nước lợ và biện pháp phòng chống hiệu quả,2,0.9656978797912598,0.8456978797912598,0.0,0.0,0.12,no KG match (delta=0); intent: VN brackish manual title (+0.12),no KG match (delta=0); intent: VN brackish manual title (+0.12),Thiếu explanation rõ hoặc không phát hiện được entity/evidence match chắc chắn.
weak,BI_003,surveillance và phân vùng dịch bệnh động vật thủy sản,biosecurity-management,1,FAO_013,Surveillance and zoning for aquatic animal diseases,2,0.7884936332702637,0.7884936332702637,0.0,0.0,0.0,no KG match (delta=0),no KG match (delta=0),Thiếu explanation rõ hoặc không phát hiện được entity/evidence match chắc chắn.
weak,BI_010,sổ tay chẩn đoán bệnh thủy sản châu Á,biosecurity-management,1,FAO_009,Asia diagnostic guide to aquatic animal diseases,2,0.7173969745635986,0.7173969745635986,0.0,0.0,0.0,no KG match (delta=0),no KG match (delta=0),Thiếu explanation rõ hoặc không phát hiện được entity/evidence match chắc chắn.
